Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Scientist Salaries in Mumbai Area,"₹ 12,31,994 - ₹ 15,00,000",NA,NA,"₹12,97,507","The typical Accenture Data Scientist salary is ₹12,97,507",NA,NA,4,70%,13%,17%,37%,29%,12%,Mumbai
"New York, NY",10000+ Employees,1998,Company - Private,Accounting,$5 to $10 billion (USD),PwC,PwC Data Scientist Salaries in Mumbai Area,"₹ 11,51,015 - ₹ 16,32,708",NA,NA,"₹14,11,381","The typical PwC Data Scientist salary is ₹14,11,381",NA,NA,3.9,72%,9%,19%,48%,30%,9%,Mumbai
"Mumbai, India",10000+ Employees,1995,Company - Public (HDB),Banks & Building Societies,$10+ billion (USD),HDFC Bank,HDFC Bank Data Scientist Salaries in Mumbai Area,"₹ 10,42,192 - ₹ 25,33,956",NA,NA,"₹25,33,956","The typical HDFC Bank Data Scientist salary is ₹25,33,956",NA,NA,3.7,71%,13%,17%,39%,20%,17%,Mumbai
"Troy, MI",10000+ Employees,1980,Subsidiary or Business Segment,IT Services,$1 to $2 billion (USD),Atos-Syntel,Atos-Syntel Data Scientist Salaries in Mumbai Area,"₹ 8,00,000 - ₹ 10,99,356","₹ 1,50,000",NA,"₹8,52,508","The typical Atos-Syntel Data Scientist salary is ₹8,52,508",NA,NA,3.5,67%,14%,19%,36%,32%,12%,Mumbai
"Mumbai, India",10000+ Employees,null,Company - Public (MNM),Transportation Equipment Manufacturing,$10+ billion (USD),Mahindra,Mahindra Data Scientist Salaries in Mumbai Area,"₹ 1,05,000 - ₹ 10,21,306",NA,NA,"₹9,95,724","The typical Mahindra Data Scientist salary is ₹9,95,724",NA,NA,4,78%,9%,13%,52%,14%,11%,Mumbai
"Kolhāpur, India",5001 to 10000 Employees,null,Company - Private,Banks & Building Societies,$10+ billion (USD),RBL Bank,RBL Bank Data Scientist Salaries in Mumbai Area,"₹ 9,18,398 - ₹ 14,38,923","₹ 3,70,143",NA,"₹13,80,385","The typical RBL Bank Data Scientist salary is ₹13,80,385",NA,NA,3.7,56%,25%,19%,29%,21%,21%,Mumbai
"Mumbai, India",10000+ Employees,null,Company - Public (500302),Healthcare Services & Hospitals,Unknown / Non-Applicable,Piramal Enterprises,Piramal Enterprises Data Scientist Salaries in Mumbai Area,"₹ 6,00,000 - ₹ 9,69,480",NA,NA,"₹8,40,000","The typical Piramal Enterprises Data Scientist salary is ₹8,40,000",NA,NA,3.6,76%,8%,16%,33%,19%,16%,Mumbai
"Greenwich, CT",10000+ Employees,2011,Company - Public (XPO),Transportation Management,$10+ billion (USD),XPO Logistics,XPO Logistics Data Scientist Salaries in Mumbai Area,"₹ 15,30,664 - ₹ 20,77,457",NA,NA,"₹15,39,101","The typical XPO Logistics Data Scientist salary is ₹15,39,101",NA,NA,3.6,55%,32%,12%,59%,13%,9%,Mumbai
"London, United Kingdom",10000+ Employees,1848,Company - Public (PUK),Insurance Operators,$10+ billion (USD),Prudential plc,Prudential plc Data Scientist Salaries in Mumbai Area,"₹ 9,12,747 - ₹ 11,13,452","₹ 1,10,991",NA,"₹10,78,873","The typical Prudential plc Data Scientist salary is ₹10,78,873",NA,NA,3.5,63%,25%,12%,45%,16%,13%,Mumbai
"Mumbai, India",1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Less than $1 million (USD),Arya.ai,Arya.ai Data Scientist Salaries in Mumbai Area,"₹ 5,02,261 - ₹ 8,35,663",NA,NA,,The typical Arya,NA,NA,3.8,100%,67%,33%,,,,Mumbai
"Teaneck, NJ",10000+ Employees,1994,Company - Public (CTSH),Consulting,$10+ billion (USD),Cognizant Technology Solutions,Cognizant Technology Solutions Data Scientist Salaries in Mumbai Area,"₹ 10,90,305 - ₹ 15,94,493","₹ 86,321",NA,"₹10,90,305-₹15,94,493","Data Scientist salaries at Cognizant Technology Solutions can range from ₹10,90,305-₹15,94,493",NA,NA,3.7,73%,13%,14%,43%,23%,10%,Mumbai
"Pune, India",10000+ Employees,1986,Company - Public (TECHM),IT Services,$2 to $5 billion (USD),Tech Mahindra,Tech Mahindra Data Scientist Salaries in Mumbai Area,"₹ 6,80,680 - ₹ 10,47,920",NA,NA,"₹6,80,680-₹10,47,920","Data Scientist salaries at Tech Mahindra can range from ₹6,80,680-₹10,47,920",NA,NA,3.6,64%,18%,19%,38%,23%,11%,Mumbai
"New York, NY",10000+ Employees,1996,Subsidiary or Business Segment,TV Broadcasting & Cable Networks,$2 to $5 billion (USD),ABC,ABC Data Scientist Salaries in Mumbai Area,"₹ 8,86,572 - ₹ 11,34,373","₹ 1,02,131",NA,"₹8,86,572-₹11,34,373","Data Scientist salaries at ABC can range from ₹8,86,572-₹11,34,373",NA,NA,4,68%,8%,23%,62%,11%,9%,Mumbai
"Mountain View, CA",10000+ Employees,1998,Company - Public (GOOG),Internet,$10+ billion (USD),Google,Google Data Scientist Monthly Pay in Mumbai Area,"₹ 96,239 - ₹ 1,12,573",NA,NA,"₹96,239-₹1,12,573","Data Scientist salaries at Google can range from ₹96,239-₹1,12,573",NA,NA,4.5,62%,15%,23%,44%,22%,22%,Mumbai
"Mumbai, India",5001 to 10000 Employees,2000,Company - Public (ECLERX),Consulting,$100 to $500 million (USD),eClerx,eClerx Data Scientist Monthly Pay in Mumbai Area,"₹ 44,269 - ₹ 61,374","₹ 5,264",NA,"₹44,269-₹61,374","Data Scientist salaries at eClerx can range from ₹44,269-₹61,374",NA,NA,3.5,62%,17%,21%,30%,20%,14%,Mumbai
"San Mateo, CA",1001 to 5000 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Freshworks,Freshworks Data Scientist Salaries in Mumbai Area,"₹ 2,89,002 - ₹ 6,92,802",NA,NA,"₹2,89,002-₹6,92,802","Data Scientist salaries at Freshworks can range from ₹2,89,002-₹6,92,802",NA,NA,4.3,61%,27%,12%,37%,26%,15%,Mumbai
"Amsterdam, Netherlands",5001 to 10000 Employees,1984,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,HERE Technologies,HERE Technologies Data Scientist Salaries in Mumbai Area,"₹ 16,74,782 - ₹ 19,08,888",NA,NA,"₹16,74,782-₹19,08,888","Data Scientist salaries at HERE Technologies can range from ₹16,74,782-₹19,08,888",NA,NA,3.8,62%,24%,15%,35%,28%,12%,Mumbai
"Copenhagen, Denmark",10000+ Employees,1928,Subsidiary or Business Segment,Shipping,$10+ billion (USD),MAERSK,MAERSK Data Scientist Salaries in Mumbai Area,"₹ 13,89,934 - ₹ 19,85,916","₹ 2,11,184",NA,"₹13,89,934-₹19,85,916","Data Scientist salaries at MAERSK can range from ₹13,89,934-₹19,85,916",NA,NA,4,61%,20%,19%,56%,11%,10%,Mumbai
"Mumbai, India",1001 to 5000 Employees,1998,Company - Private,Internet,$1 to $2 billion (USD),Directi,Directi Data Scientist Salaries in Mumbai Area,"₹ 14,32,680 - ₹ 19,34,079",NA,NA,"₹14,32,680-₹19,34,079","Data Scientist salaries at Directi can range from ₹14,32,680-₹19,34,079",NA,NA,4.1,70%,16%,14%,49%,23%,11%,Mumbai
"Mumbai, India",10000+ Employees,1994,Company - Public (ISIN ),Lending,$1 to $2 billion (USD),L&T Financial Services,L&T Financial Services Data Scientist Salaries in Mumbai Area,"₹ 8,30,543 - ₹ 10,47,585","₹ 1,36,261",NA,"₹8,30,543-₹10,47,585","Data Scientist salaries at L&T Financial Services can range from ₹8,30,543-₹10,47,585",NA,NA,3.3,69%,10%,21%,47%,18%,18%,Mumbai
"Mumbai, India",1001 to 5000 Employees,1977,Company - Public (HDFC),Lending,$10+ billion (USD),Hdfc,Hdfc Data Scientist Monthly Pay in Mumbai Area,"₹ 13,100 - ₹ 1,17,954",NA,NA,"₹13,100-₹1,17,954","Data Scientist salaries at Hdfc can range from ₹13,100-₹1,17,954",NA,NA,3.7,64%,8%,28%,54%,13%,11%,Mumbai
"Mumbai, India",10000+ Employees,null,Company - Public (500302),Healthcare Services & Hospitals,Unknown / Non-Applicable,Piramal Enterprises,Piramal Enterprises Data Scientist Salaries in Mumbai Area,"₹ 6,00,000 - ₹ 9,69,480",NA,NA,"₹8,40,000","The typical Piramal Enterprises Data Scientist salary is ₹8,40,000",NA,NA,3.6,76%,8%,16%,33%,19%,16%,Mumbai
"Gardena, CA",201 to 500 Employees,2006,Company - Private,Healthcare Services & Hospitals,Unknown / Non-Applicable,Episource,Episource Data Scientist Monthly Pay in Mumbai Area,"₹ 39,842 - ₹ 76,219",NA,NA,"₹39,842-₹76,219","Data Scientist salaries at Episource can range from ₹39,842-₹76,219",NA,NA,3.8,69%,21%,10%,43%,15%,13%,Mumbai
"Mumbai, India",51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,$5 to $10 million (USD),LogiNext Solutions,LogiNext Solutions Data Scientist Salaries in Mumbai Area,"₹ 3,65,445 - ₹ 5,42,608",NA,NA,"₹3,65,445-₹5,42,608","Data Scientist salaries at LogiNext Solutions can range from ₹3,65,445-₹5,42,608",NA,NA,3.6,63%,30%,7%,59%,15%,11%,Mumbai
"Mumbai, India",201 to 500 Employees,2018,Company - Public,Internet,Unknown / Non-Applicable,ZEE5,ZEE5 Data Scientist Salaries in Mumbai Area,"₹ 8,23,763 - ₹ 15,97,879",NA,NA,"₹8,23,763-₹15,97,879","Data Scientist salaries at ZEE5 can range from ₹8,23,763-₹15,97,879",NA,NA,3.1,56%,22%,22%,38%,25%,25%,Mumbai
"Mumbai, India",1 to 50 Employees,2012,Company - Private,Internet,$100 to $500 million (USD),Bewakoof Brands,Bewakoof Brands Data Scientist Salaries in Mumbai Area,"₹ 5,78,098 - ₹ 8,50,110",NA,NA,"₹5,78,098-₹8,50,110","Data Scientist salaries at Bewakoof Brands can range from ₹5,78,098-₹8,50,110",NA,NA,3.8,44%,44%,13%,56%,13%,13%,Mumbai
"Mumbai, India",1 to 50 Employees,null,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Karza Technologies,Karza Technologies Data Scientist Salaries in Mumbai Area,"₹ 7,60,468 - ₹ 25,39,850",NA,NA,"₹7,60,468-₹25,39,850","Data Scientist salaries at Karza Technologies can range from ₹7,60,468-₹25,39,850",NA,NA,4.3,38%,58%,4%,48%,13%,13%,Mumbai
"Mumbai, India",51 to 200 Employees,null,Company - Public,Unknown / Non-Applicable,$50 to $100 million (USD),HDFC Developers,HDFC Developers Data Scientist Salaries in Mumbai Area,"₹ 12,07,179 - ₹ 17,18,819",NA,NA,"₹12,07,179-₹17,18,819","Data Scientist salaries at HDFC Developers can range from ₹12,07,179-₹17,18,819",NA,NA,2.8,33%,67%,33%,33%,33%,,Mumbai
"Mumbai, India",51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Locobuzz,Locobuzz Data Scientist Salaries in Mumbai Area,"₹ 5,99,283 - ₹ 10,38,300",NA,NA,"₹5,99,283-₹10,38,300","Data Scientist salaries at Locobuzz can range from ₹5,99,283-₹10,38,300",NA,NA,3.7,33%,67%,33%,33%,33%,,Mumbai
"Mumbai, India",1 to 50 Employees,2017,Company - Private,Internet,Unknown / Non-Applicable,Cuddle,Cuddle Data Scientist Salaries in Mumbai Area,"₹ 18,11,479 - ₹ 20,03,931","₹ 2,23,500",NA,"₹18,11,479-₹20,03,931","Data Scientist salaries at Cuddle can range from ₹18,11,479-₹20,03,931",NA,NA,4.9,100%,100%,,,,,Mumbai
"Bangalore, India",10000+ Employees,1945,Company - Public (WIT),IT Services,$5 to $10 billion (USD),Wipro,Wipro Data Scientist Salaries in Mumbai Area,"₹ 3,43,615 - ₹ 3,72,030",NA,NA,"₹3,43,615-₹3,72,030","Data Scientist salaries at Wipro can range from ₹3,43,615-₹3,72,030",NA,NA,3.7,70%,13%,17%,44%,23%,11%,Mumbai
"Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet,$10+ billion (USD),Amazon,Amazon Data Scientist Salaries in Mumbai Area,"₹ 7,18,583 - ₹ 7,77,772","₹ 29,442",NA,"₹7,18,583-₹7,77,772","Data Scientist salaries at Amazon can range from ₹7,18,583-₹7,77,772",NA,NA,4.3,59%,19%,23%,54%,15%,12%,Mumbai
"Bangalore, India",10000+ Employees,1911,Company - Public (IBM),IT Services,$10+ billion (USD),IBM,IBM Data Scientist Salaries in Mumbai Area,"₹ 11,13,776 - ₹ 12,03,199",NA,NA,"₹11,13,776-₹12,03,199","Data Scientist salaries at IBM can range from ₹11,13,776-₹12,03,199",NA,NA,3.9,69%,12%,19%,43%,22%,14%,Mumbai
"London, United Kingdom",10000+ Employees,1989,Company - Private,Accounting,$10+ billion (USD),EY,EY Data Scientist Salaries in Mumbai Area,"₹ 9,73,240 - ₹ 10,45,881","₹ 2,01,195",NA,"₹9,73,240-₹10,45,881","Data Scientist salaries at EY can range from ₹9,73,240-₹10,45,881",NA,NA,3.8,73%,9%,18%,36%,36%,13%,Mumbai
"Mumbai, India",10000+ Employees,1994,Company - Public (IBN),Banks & Building Societies,$10+ billion (USD),ICICI Bank,ICICI Bank Data Scientist Salaries in Mumbai Area,"₹ 6,46,382 - ₹ 7,07,092",NA,NA,"₹6,46,382-₹7,07,092","Data Scientist salaries at ICICI Bank can range from ₹6,46,382-₹7,07,092",NA,NA,3.6,70%,9%,21%,39%,28%,8%,Mumbai
"Mumbai, India",10000+ Employees,1997,Company - Public,IT Services,Unknown / Non-Applicable,LTI,LTI Data Scientist Salaries in Mumbai Area,"₹ 5,72,847 - ₹ 6,26,300",NA,NA,"₹5,72,847-₹6,26,300","Data Scientist salaries at LTI can range from ₹5,72,847-₹6,26,300",NA,NA,3.6,69%,16%,15%,60%,15%,9%,Mumbai
"Bangalore, India",10000+ Employees,1999,Company - Public (MINDTREE),IT Services,$500 million to $1 billion (USD),Mindtree,Mindtree Data Scientist Salaries in Mumbai Area,"₹ 9,53,000 - ₹ 10,33,230","₹ 1,00,000",NA,"₹9,53,000-₹10,33,230","Data Scientist salaries at Mindtree can range from ₹9,53,000-₹10,33,230",NA,NA,3.9,66%,17%,18%,34%,25%,14%,Mumbai
"Redmond, WA",10000+ Employees,1975,Company - Public (MSFT),Computer Hardware & Software,$10+ billion (USD),Microsoft,Microsoft Data Scientist Monthly Pay in Mumbai Area,"₹ 1,47,499 - ₹ 1,59,646",NA,NA,"₹1,47,499-₹1,59,646","Data Scientist salaries at Microsoft can range from ₹1,47,499-₹1,59,646",NA,NA,4.4,66%,13%,21%,33%,30%,15%,Mumbai
"San Jose, CA",10000+ Employees,1984,Company - Private,Computer Hardware & Software,$10+ billion (USD),Cisco Systems,Cisco Systems Data Scientist Salaries in Mumbai Area,"₹ 1,21,208 - ₹ 1,33,196",NA,NA,"₹1,21,208-₹1,33,196","Data Scientist salaries at Cisco Systems can range from ₹1,21,208-₹1,33,196",NA,NA,4.4,69%,11%,19%,32%,30%,18%,Mumbai
"New York, NY",10000+ Employees,1799,Company - Public (JPM),Investment Banking & Asset Management,$10+ billion (USD),J.P. Morgan,J.P. Morgan Data Scientist Salaries in Mumbai Area,"₹ 9,11,727 - ₹ 9,84,662",NA,NA,,Data Scientist salaries at J,NA,NA,4,64%,12%,23%,56%,19%,9%,Mumbai
"New York, NY",10000+ Employees,1799,Company - Public (JPM),Investment Banking & Asset Management,$10+ billion (USD),J.P. Morgan,J.P. Morgan Data Scientist Salaries in Mumbai Area,"₹ 9,11,718 - ₹ 9,76,097",NA,NA,,Data Scientist salaries at J,NA,NA,4,64%,12%,23%,56%,19%,9%,Mumbai
"Mumbai, India",10000+ Employees,1977,Company - Public (RIL),Energy,$10+ billion (USD),Reliance Industries,Reliance Industries Data Scientist Salaries in Mumbai Area,"₹ 18,64,862","₹ 2,14,881","₹ 19,22,877","₹18,64,862","The typical Reliance Industries Data Scientist salary is ₹18,64,862","₹2,585K",₹926K,3.8,77%,8%,15%,60%,14%,9%,Mumbai
"Mumbai, India",10000+ Employees,1977,Company - Public (RIL),Energy,$10+ billion (USD),Reliance Industries,Reliance Industries Data Scientist Salaries in Mumbai Area,"₹ 5,77,026 - ₹ 6,31,773",NA,NA,"₹5,77,026-₹6,31,773","Data Scientist salaries at Reliance Industries can range from ₹5,77,026-₹6,31,773",NA,NA,3.8,77%,8%,15%,60%,14%,9%,Mumbai
"Northbrook, IL",1001 to 5000 Employees,2004,Company - Private,Consulting,Unknown / Non-Applicable,Mu Sigma,Mu Sigma Data Scientist Salaries in Mumbai Area,"₹ 23,25,222 - ₹ 25,23,114",NA,NA,"₹23,25,222-₹25,23,114","Data Scientist salaries at Mu Sigma can range from ₹23,25,222-₹25,23,114",NA,NA,3.3,70%,12%,19%,77%,12%,5%,Mumbai
"Mumbai, India",10000+ Employees,1993,Company - Private,Banks & Building Societies,$10+ billion (USD),Axis Bank,Axis Bank Data Scientist Salaries in Mumbai Area,"₹ 19,14,992 - ₹ 20,68,204","₹ 1,24,070",NA,"₹19,14,992-₹20,68,204","Data Scientist salaries at Axis Bank can range from ₹19,14,992-₹20,68,204",NA,NA,3.5,70%,11%,20%,36%,30%,13%,Mumbai
"Bangalore, India",10000+ Employees,2007,Company - Private,Internet,$5 to $10 billion (USD),Flipkart,Flipkart Data Scientist Salaries in Mumbai Area,"₹ 24,11,061 - ₹ 26,12,351",NA,NA,"₹24,11,061-₹26,12,351","Data Scientist salaries at Flipkart can range from ₹24,11,061-₹26,12,351",NA,NA,4.2,58%,26%,16%,29%,18%,17%,Mumbai
"Cincinnati, OH",10000+ Employees,1999,Subsidiary or Business Segment,Bus & Coach Services,$5 to $10 billion (USD),First Student,First Student Data Scientist Salaries in Mumbai Area,"₹ 5,70,528 - ₹ 6,25,344",NA,NA,"₹5,70,528-₹6,25,344","Data Scientist salaries at First Student can range from ₹5,70,528-₹6,25,344",NA,NA,4.1,62%,8%,30%,36%,36%,12%,Mumbai
"Mumbai, India",10000+ Employees,1996,Company - Public (WNS),Staffing & Outsourcing,$100 to $500 million (USD),WNS,WNS Data Scientist Salaries in Mumbai Area,"₹ 1,88,463 - ₹ 2,04,149",NA,NA,"₹1,88,463-₹2,04,149","Data Scientist salaries at WNS can range from ₹1,88,463-₹2,04,149",NA,NA,3.4,56%,21%,23%,21%,20%,16%,Mumbai
"Vadodara, India",10000+ Employees,2014,Company - Public,IT Services,$500 million to $1 billion (USD),L&T Technology Services,L&T Technology Services Data Scientist Monthly Pay in Mumbai Area,"₹ 55,914 - ₹ 60,085",NA,NA,"₹55,914-₹60,085","Data Scientist salaries at L&T Technology Services can range from ₹55,914-₹60,085",NA,NA,3.7,72%,12%,16%,50%,17%,11%,Mumbai
"Jefferson City, MO",1 to 50 Employees,1947,Company - Private,Telecommunications Services,Unknown / Non-Applicable,TCS,TCS Data Scientist Salaries in Mumbai Area,"₹ 9,87,554 - ₹ 10,65,964",NA,NA,"₹9,87,554-₹10,65,964","Data Scientist salaries at TCS can range from ₹9,87,554-₹10,65,964",NA,NA,4,72%,9%,19%,49%,33%,5%,Mumbai
"Mumbai, India",10000+ Employees,1843,Company - Public (SIE),Electrical & Electronic Manufacturing,$10+ billion (USD),Siemens,Siemens Data Scientist Salaries in Mumbai Area,"₹ 11,68,790 - ₹ 12,62,099",NA,NA,"₹11,68,790-₹12,62,099","Data Scientist salaries at Siemens can range from ₹11,68,790-₹12,62,099",NA,NA,4.1,67%,14%,19%,46%,20%,11%,Mumbai
"Mumbai, India",10000+ Employees,1945,Company - Public (TTM),Transportation Equipment Manufacturing,$10+ billion (USD),Tata Motors,Tata Motors Data Scientist Monthly Pay in Mumbai Area,"₹ 58,216 - ₹ 63,501","₹ 1,267",NA,"₹58,216-₹63,501","Data Scientist salaries at Tata Motors can range from ₹58,216-₹63,501",NA,NA,4,82%,5%,14%,68%,8%,6%,Mumbai
"Mumbai, India",10000+ Employees,null,Company - Public (MNM),Transportation Equipment Manufacturing,$10+ billion (USD),Mahindra,Mahindra Data Scientist Salaries in Mumbai Area,"₹ 3,50,316 - ₹ 3,77,102",NA,NA,"₹3,50,316-₹3,77,102","Data Scientist salaries at Mahindra can range from ₹3,50,316-₹3,77,102",NA,NA,4,78%,9%,13%,52%,14%,11%,Mumbai
"Mumbai, India",10000+ Employees,1985,Company - Private,Banks & Building Societies,$1 to $2 billion (USD),Kotak Mahindra,Kotak Mahindra Data Scientist Salaries in Mumbai Area,"₹ 7,51,025 - ₹ 8,09,302",NA,NA,"₹7,51,025-₹8,09,302","Data Scientist salaries at Kotak Mahindra can range from ₹7,51,025-₹8,09,302",NA,NA,3.5,70%,13%,17%,27%,18%,17%,Mumbai
"Gurgaon, India",1 to 50 Employees,null,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,DONE by NONE,DONE by NONE Data Scientist Monthly Pay in Mumbai Area,"₹ 99,404 - ₹ 1,08,074",NA,NA,"₹99,404-₹1,08,074","Data Scientist salaries at DONE by NONE can range from ₹99,404-₹1,08,074",NA,NA,4.1,56%,12%,32%,66%,12%,8%,Mumbai
"Pune, India",5001 to 10000 Employees,2001,Company - Public (504067),IT Services,$500 million to $1 billion (USD),Zensar Technologies,Zensar Technologies Data Scientist Salaries in Mumbai Area,"₹ 14,63,151 - ₹ 15,76,935",NA,NA,"₹14,63,151-₹15,76,935","Data Scientist salaries at Zensar Technologies can range from ₹14,63,151-₹15,76,935",NA,NA,3.5,67%,18%,15%,40%,19%,13%,Mumbai
"Mumbai, India",1001 to 5000 Employees,1987,Company - Public (CRISIL),Financial Analytics & Research,$5 to $10 billion (USD),CRISIL,CRISIL Data Scientist Salaries in Mumbai Area,"₹ 3,50,634 - ₹ 3,80,759",NA,NA,"₹3,50,634-₹3,80,759","Data Scientist salaries at CRISIL can range from ₹3,50,634-₹3,80,759",NA,NA,3.7,67%,13%,20%,31%,29%,14%,Mumbai
"Bangalore, India",10000+ Employees,2014,Company - Private,Internet,Unknown / Non-Applicable,Swiggy,Swiggy Data Scientist Salaries in Mumbai Area,"₹ 12,64,099 - ₹ 13,67,949",NA,NA,"₹12,64,099-₹13,67,949","Data Scientist salaries at Swiggy can range from ₹12,64,099-₹13,67,949",NA,NA,4,42%,45%,12%,26%,23%,18%,Mumbai
"Bangalore, India",201 to 500 Employees,null,Company - Private,Film Production & Distribution,Unknown / Non-Applicable,Fresherworld.com,Fresherworld.com Data Scientist Salaries in Mumbai Area,"₹ 11,71,092 - ₹ 12,79,561",NA,NA,,Data Scientist salaries at Fresherworld,NA,NA,4.1,57%,15%,28%,66%,18%,7%,Mumbai
"Bangalore, India",201 to 500 Employees,null,Company - Private,Film Production & Distribution,Unknown / Non-Applicable,Fresherworld.com,Fresherworld.com Data Scientist Salaries in Mumbai Area,"₹ 11,87,354 - ₹ 12,68,283",NA,NA,,Data Scientist salaries at Fresherworld,NA,NA,4.1,57%,15%,28%,66%,18%,7%,Mumbai
"Chākan, India",1001 to 5000 Employees,1996,Company - Private,IT Services,$100 to $500 million (USD),Mercedes-Benz Research and Development India,Mercedes-Benz Research and Development India Data Scientist Salaries in Mumbai Area,"₹ 11,77,178 - ₹ 12,58,369",NA,NA,"₹11,77,178-₹12,58,369","Data Scientist salaries at Mercedes-Benz Research and Development India can range from ₹11,77,178-₹12,58,369",NA,NA,3.6,58%,27%,16%,32%,20%,15%,Mumbai
"Mumbai, India",10000+ Employees,1991,Subsidiary or Business Segment,Banks & Building Societies,Unknown / Non-Applicable,IndusInd Bank,IndusInd Bank Data Scientist Salaries in Mumbai Area,"₹ 19,04,400 - ₹ 20,89,160","₹ 1,00,000",NA,"₹19,04,400-₹20,89,160","Data Scientist salaries at IndusInd Bank can range from ₹19,04,400-₹20,89,160",NA,NA,3.3,60%,20%,20%,28%,25%,12%,Mumbai
