Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Avg_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City,Monthly
Ireland,10000+ Employees,136.0,Public,Manufacturing,$10+ billion (USD),Johnson Controls,Data Scientist,1203432.0,1203432.0,3.5,64.0,18.0,19.0,40.0,20.0,12.0,Banglore,No
New Joursey,1001 to 5000 Employees,180.0,Public,Information Technology,$1 to $2 billion (USD),Dun & Bradstreet,Data Scientist,120390.0,120390.0,3.5,58.0,25.0,18.0,38.0,23.0,16.0,Banglore,No
India,51 to 200 Employees,20.0,Private,Information Technology,$10+ billion (USD),D2K Technologies India,Data Scientist,212187.5,212187.5,2.8,20.0,60.0,20.0,75.0,25.0,13.633165829145726,Banglore,No
Illinois,5001 to 10000 Employees,137.0,Public,Manufacturing,$1 to $2 billion (USD),JBT,Data Scientist,102173.5,102173.5,3.8,64.0,18.0,18.0,55.0,16.0,11.0,Banglore,No
Morocco,10000+ Employees,58.0,Private,Consulting,$5 to $10 billion (USD),Boston Consulting Group,Data Scientist,1676455.5,2000000.0,4.1,70.0,12.0,18.0,50.0,26.0,11.0,Banglore,No
California,10000+ Employees,18.0,Private,Information Technology,$5 to $10 billion (USD),LinkedIn,Data Scientist,642263.0,642263.0,4.4,53.0,32.0,15.0,38.0,28.0,24.0,Banglore,No
California,1001 to 5000 Employees,42.0,Private,Information Technology,$10+ billion (USD),Walmart Labs,Data Scientist,656884.0,656884.0,3.8,48.0,36.0,16.0,27.0,21.0,20.0,Banglore,No
India,1 to 50 Employees,5.0,Private,Consulting,$25 to $50 million (USD),NeenOpal,Data Scientist,184906.5,184906.5,4.9,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Singapore,1001 to 5000 Employees,15.0,Private,Information Technology,$10 to $25 million (USD),Apar Technologies,Data Scientist,1705832.5,1705832.5,4.2,47.0,53.0,29.0,14.0,14.0,13.633165829145726,Banglore,No
India,51 to 200 Employees,11.0,Private,Information Technology,$10+ billion (USD),WyzMindz,Data Scientist,410108.5,410108.5,3.5,100.0,40.0,20.0,20.0,21.65818759936407,13.633165829145726,Banglore,No
Canada,1 to 50 Employees,3.0,Private,Information Technology,$25 to $50 million (USD),Algo8.ai,Data Scientist,142865.5,1142503.68,3.8,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,201 to 500 Employees,12.0,Private,Information Technology,Less than $1 million (USD),GlobusSoft,Data Scientist,20165.0,20165.0,4.5,63.0,23.0,14.0,27.0,27.0,18.0,Banglore,No
India,501 to 1000 Employees,14.0,Private,Information Technology,$10+ billion (USD),InMobi,Data Scientist,3202389.0,3202389.0,4.1,47.0,38.0,16.0,36.0,21.0,18.0,Banglore,No
California,501 to 1000 Employees,5.0,Private,Information Technology,$100 to $500 million (USD),Tekion,Data Scientist,1933935.5,1933935.5,4.2,40.0,51.0,9.0,25.0,24.0,19.0,Banglore,No
New York,10000+ Employees,23.0,Private,Banking/Finance,$5 to $10 billion (USD),PwC,Data Scientist,2090901.5,2090901.5,3.9,72.0,9.0,19.0,48.0,30.0,9.0,Banglore,No
California,10000+ Employees,45.0,Public,Information Technology,$10+ billion (USD),Apple,Data Scientist,203390.5,203390.5,4.4,65.0,15.0,20.0,56.0,15.0,13.0,Banglore,No
India,5001 to 10000 Employees,34.0,Public,Information Technology,$25 to $50 million (USD),Datamatics Global Services,Data Scientist,330450.5,330450.5,3.3,49.0,29.0,22.0,34.0,16.0,13.0,Banglore,No
Canada,10000+ Employees,13.0,Public,Information Technology,$5 to $10 billion (USD),Thomson Reuters,Data Scientist,1511045.0,1511045.0,4.2,68.0,15.0,17.0,48.0,14.0,13.0,Banglore,No
India,10000+ Employees,35.0,Public,Information Technology,$2 to $5 billion (USD),Tech Mahindra,Data Scientist,1208286.0,1208286.0,3.6,64.0,18.0,19.0,38.0,23.0,11.0,Banglore,No
India,10000+ Employees,19.0,Private,Outsource,$10+ billion (USD),Infosys BPM,Data Scientist,715415.0,715415.0,3.6,68.0,17.0,16.0,25.0,16.0,15.0,Banglore,No
Ohio,10000+ Employees,22.0,Private,Transportation,$5 to $10 billion (USD),First Student,Data Scientist,50000.0,50000.0,4.1,62.0,8.0,30.0,36.0,36.0,12.0,Banglore,No
India,1 to 50 Employees,7.0,Private,Information Technology,$1 to $5 million (USD),Hashworks,Data Scientist,1316337.0,1316337.0,3.3,67.0,33.0,50.0,50.0,21.65818759936407,13.633165829145726,Banglore,No
Morocco,5001 to 10000 Employees,38.0,Public,Information Technology,$500 million to $1 billion (USD),Pegasystems,Data Scientist,1168243.5,1168243.5,4.1,53.0,31.0,16.0,31.0,29.0,16.0,Banglore,No
California,1001 to 5000 Employees,20.0,Private,Information Technology,$100 to $500 million (USD),Symphony Teleca,Data Scientist,828978.0,828978.0,3.7,71.0,15.0,14.0,31.0,20.0,18.0,Banglore,No
India,51 to 200 Employees,11.0,Private,Information Technology,$10+ billion (USD),CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,18519.5,18519.5,3.7,73.0,18.0,9.0,55.0,27.0,9.0,Banglore,No
California,10000+ Employees,35.0,Public,Information Technology,$2 to $5 billion (USD),Synopsys,Data Scientist,375204.0,375204.0,4.1,73.0,13.0,14.0,43.0,23.0,17.0,Banglore,No
Illinois,1001 to 5000 Employees,22.0,Public,Information Technology,$100 to $500 million (USD),Yodlee,Data Scientist,2876935.5,2876935.5,3.6,59.0,24.0,16.0,38.0,18.0,16.0,Banglore,No
India,51 to 200 Employees,20.0,Private,Information Technology,$50 to $100 million (USD),Vmoksha Technologies,Data Scientist,488185.0,488185.0,4.4,78.0,22.0,56.0,11.0,11.0,13.633165829145726,Banglore,No
India,51 to 200 Employees,20.0,Private,Information Technology,$10+ billion (USD),Innoviti,Data Scientist,265036.0,265036.0,2.4,55.0,27.0,18.0,44.0,22.0,11.0,Banglore,No
India,5001 to 10000 Employees,36.0,Private,Banking/Finance,$500 million to $1 billion (USD),Aegis,Data Scientist,353946.5,353946.5,3.3,55.0,19.0,26.0,34.0,21.0,15.0,Banglore,No
India,501 to 1000 Employees,6.0,Private,Information Technology,$100 to $500 million (USD),Rapido,Data Scientist,370244.0,370244.0,4.1,43.0,52.0,5.0,58.0,16.0,16.0,Banglore,No
Singapore,10000+ Employees,53.0,Public,Banking/Finance,$5 to $10 billion (USD),DBS Bank,Data Scientist,1527174.0,1527174.0,3.8,60.0,15.0,24.0,55.0,13.0,10.0,Banglore,No
India,1 to 50 Employees,3.0,Private,Information Technology,$25 to $50 million (USD),YDI Solutions,Data Scientist,360048.5,360048.5,5.0,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
New York,201 to 500 Employees,6.0,Private,Information Technology,$100 to $500 million (USD),Impact Analytics,Data Scientist,301039.0,301039.0,4.0,48.0,32.0,19.0,38.0,38.0,10.0,Banglore,No
India,5001 to 10000 Employees,63.0,Public,Government Agencies,$1 to $2 billion (USD),Defence Research & Development Organisation,Data Scientist,28832.0,28832.0,4.3,77.0,3.0,19.0,42.0,25.0,11.0,Banglore,No
India,1001 to 5000 Employees,26.0,Public,Information Technology,$1 to $2 billion (USD),Inspirisys Solutions Limited,Data Scientist,904005.5,904005.5,3.6,58.0,14.0,28.0,41.0,15.0,12.0,Banglore,No
India,51 to 200 Employees,20.0,Private,Education,$100 to $500 million (USD),Dexler Information Solutions,Data Scientist,1648278.5,1648278.5,3.8,75.0,19.0,6.0,40.0,13.0,13.0,Banglore,No
California,51 to 200 Employees,7.0,Private,Banking/Finance,$25 to $50 million (USD),Applied Data Finance,Data Scientist,40121.5,40121.5,4.6,61.0,18.0,21.0,33.0,21.0,21.0,Banglore,No
India,1001 to 5000 Employees,25.0,Private,Government Agencies,$10+ billion (USD),Samsung R&D Institute India - Bangalore,Data Scientist,1974174.0,1974174.0,3.6,69.0,11.0,20.0,56.0,13.0,12.0,Banglore,No
Luxembourg,5001 to 10000 Employees,12.0,Public,Banking/Finance,$500 million to $1 billion (USD),Altisource,Data Scientist,1289553.0,1289553.0,3.2,42.0,41.0,17.0,36.0,27.0,11.0,Banglore,No
Japan,10000+ Employees,103.0,Private,Manufacturing,$10+ billion (USD),Panasonic,Data Scientist,1872943.5,1872943.5,3.7,67.0,15.0,18.0,47.0,15.0,13.0,Banglore,No
France,1 to 50 Employees,1.0,Private,Information Technology,$25 to $50 million (USD),HiLabs,Data Scientist,1816814.0,1868908.0,4.1,100.0,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Australia,51 to 200 Employees,12.0,Public,Information Technology,$10+ billion (USD),Rubicon Red,Data Scientist,45586.5,45586.5,4.6,89.0,11.0,75.0,25.0,21.65818759936407,13.633165829145726,Banglore,No
California,501 to 1000 Employees,7.0,Private,Information Technology,$50 to $100 million (USD),Enquero,Data Scientist,1434561.5,1434561.5,3.7,45.0,43.0,13.0,35.0,19.0,16.0,Banglore,No
Texas,1 to 50 Employees,1.0,Private,Healthcare Medicine,$25 to $50 million (USD),Praktice Ai,Data Scientist,378685.5,378685.5,2.3,40.0,60.0,75.0,25.0,21.65818759936407,13.633165829145726,Banglore,No
North Carolina,10000+ Employees,28.0,Public,Information Technology,$2 to $5 billion (USD),Red Hat,Data Scientist,3225517.5,3225517.5,4.4,62.0,23.0,14.0,44.0,25.0,17.0,Banglore,No
India,51 to 200 Employees,9.0,Private,Information Technology,$1 to $5 million (USD),Flutura,Data Scientist,741261.0,749778.0,4.4,65.0,17.0,17.0,23.0,23.0,18.0,Banglore,No
India,10000+ Employees,35.0,Public,Information Technology,$2 to $5 billion (USD),Tech Mahindra,Data Scientist,1656743.0,1656743.0,3.6,64.0,18.0,19.0,38.0,23.0,11.0,Banglore,No
India,1001 to 5000 Employees,42.0,Private,Banking/Finance,$10+ billion (USD),Bajaj Finance,Data Scientist,1608744.0,1608744.0,3.8,69.0,15.0,16.0,42.0,23.0,19.0,Banglore,No
Illinois,201 to 500 Employees,18.0,Private,Information Technology,$25 to $50 million (USD),Utopia,Data Scientist,1021583.5,1021583.5,3.7,81.0,15.0,4.0,24.0,20.0,20.0,Banglore,No
Denmark,1001 to 5000 Employees,9.0,Private,Information Technology,$10+ billion (USD),Danske IT and Support Services,Data Scientist,1605750.0,1605750.0,3.2,36.0,51.0,13.0,28.0,19.0,17.0,Banglore,No
India,501 to 1000 Employees,30.0,Public,Government Agencies,$10+ billion (USD),Nhai,Data Scientist,80637.0,80637.0,4.2,50.0,50.0,25.0,25.0,25.0,13.633165829145726,Banglore,No
United Kingdom,10000+ Employees,3.0,Private,Information Technology,$5 to $10 billion (USD),Refinitiv,Data Scientist,41555.5,41555.5,3.8,59.0,26.0,15.0,54.0,13.0,12.0,Banglore,No
Netherlands,10000+ Employees,130.0,Public,Manufacturing,$5 to $10 billion (USD),Philips Lighting,Data Scientist,999700.0,999700.0,4.0,71.0,13.0,17.0,54.0,16.0,13.0,Banglore,No
India,1001 to 5000 Employees,13.0,Private,Banking/Finance,$10+ billion (USD),BankBazaar,Data Scientist,998879.0,998879.0,3.3,56.0,26.0,18.0,33.0,31.0,20.0,Banglore,No
Germany,10000+ Employees,151.0,Public,Banking/Finance,$10+ billion (USD),Deutsche Bank,Data Scientist,1499333.0,1499333.0,3.8,62.0,15.0,24.0,45.0,23.0,11.0,Banglore,No
India,201 to 500 Employees,9.0,Private,Information Technology,$1 to $2 billion (USD),Happay,Data Scientist,939824.0,939824.0,3.6,54.0,28.0,18.0,38.0,19.0,11.0,Banglore,No
India,1 to 50 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),Coffee Beans,Data Scientist,657005.5,657005.5,4.7,50.0,50.0,33.0,33.0,17.0,13.633165829145726,Banglore,No
India,201 to 500 Employees,5.0,Private,Information Technology,$1 to $5 million (USD),Exalca Technologies,Data Scientist,348082.5,348082.5,3.4,94.0,6.0,40.0,20.0,20.0,13.633165829145726,Banglore,No
Sweden,10000+ Employees,114.0,Public,Manufacturing,$5 to $10 billion (USD),SKF,Data Scientist,811871.0,811871.0,3.9,75.0,11.0,14.0,39.0,24.0,14.0,Banglore,No
New Joursey,51 to 200 Employees,5.0,Private,Information Technology,$25 to $50 million (USD),RDA Labs,Data Scientist,1961080.5,1961080.5,4.6,89.0,11.0,33.0,22.0,22.0,13.633165829145726,Banglore,No
India,10000+ Employees,4.0,Private,Information Technology,$10+ billion (USD),Legato Health Technologies,Data Scientist,46282.0,46282.0,4.0,43.0,41.0,16.0,28.0,24.0,22.0,Banglore,No
Florida,1 to 50 Employees,20.0,Private,Information Technology,$5 to $10 million (USD),Ultramatics,Data Scientist,209677.5,209677.5,2.7,100.0,50.0,50.0,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,201 to 500 Employees,18.0,Private,Film Production & Distribution,$10+ billion (USD),Fresherworld.com,Data Scientist,6049080.0,1142503.68,4.1,57.0,15.0,28.0,66.0,18.0,7.0,Banglore,No
California,10000+ Employees,54.0,Public,Manufacturing,$10+ billion (USD),Applied Materials,Data Scientist,1578721.5,1578721.5,4.0,62.0,13.0,25.0,33.0,24.0,18.0,Banglore,No
India,10000+ Employees,76.0,Public,Information Technology,$5 to $10 billion (USD),Wipro,Data Scientist,63249.0,63249.0,3.7,70.0,13.0,17.0,44.0,23.0,11.0,Banglore,No
India,1 to 50 Employees,1.0,Private,Manufacturing,$25 to $50 million (USD),Naveen Engineering,Data Scientist,119191.5,119191.5,4.0,63.0,37.0,38.0,31.0,19.0,13.633165829145726,Banglore,No
Illinois,10000+ Employees,105.0,Public,Government Agencies,$10+ billion (USD),Boeing,Data Scientist,184994.5,184994.5,3.8,67.0,11.0,22.0,61.0,18.0,6.0,Banglore,No
Michigan,1001 to 5000 Employees,9.0,Private,Information Technology,$10+ billion (USD),Altimetrik,Data Scientist,40408.5,45833.0,4.1,49.0,40.0,11.0,33.0,23.0,23.0,Banglore,No
India,1001 to 5000 Employees,42.0,Private,Manufacturing,$10+ billion (USD),Samsung India Electronics,Data Scientist,157444.5,157444.5,3.6,66.0,12.0,22.0,49.0,13.0,12.0,Banglore,No
India,1001 to 5000 Employees,6.0,Private,Information Technology,$10+ billion (USD),Unacademy,Data Scientist,204812.0,204812.0,3.9,42.0,47.0,12.0,44.0,14.0,11.0,Banglore,No
Wisconsin,10000+ Employees,37.0,Public,Banking/Finance,$10+ billion (USD),Fiserv,Data Scientist,1205249.0,1205249.0,3.4,55.0,28.0,16.0,40.0,17.0,13.0,Banglore,No
New Joursey,1001 to 5000 Employees,180.0,Public,Information Technology,$1 to $2 billion (USD),Dun & Bradstreet,Data Scientist,120531.0,120531.0,3.5,58.0,25.0,18.0,38.0,23.0,16.0,Banglore,No
United Kingdom,501 to 1000 Employees,11.0,Private,Outsource,$10+ billion (USD),MiQ,Data Scientist,1559783.0,1660942.0,4.1,41.0,44.0,15.0,32.0,22.0,15.0,Banglore,No
California,1001 to 5000 Employees,11.0,Private,Information Technology,$10+ billion (USD),Freshworks,Data Scientist,5267801.0,5267801.0,4.3,61.0,27.0,12.0,37.0,26.0,15.0,Banglore,No
California,1 to 50 Employees,1.0,Private,Information Technology,Less than $1 million (USD),Sonasoft,Data Scientist,1314317.0,1314317.0,3.7,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
New Joursey,501 to 1000 Employees,15.0,Private,Consulting,$50 to $100 million (USD),LatentView Analytics,Data Scientist,781019.0,843500.0,3.7,70.0,13.0,17.0,62.0,18.0,10.0,Banglore,No
India,10000+ Employees,22.0,Public,Information Technology,$500 million to $1 billion (USD),Mindtree,Data Scientist,1311776.0,1311776.0,3.9,66.0,17.0,18.0,34.0,25.0,14.0,Banglore,No
India,1 to 50 Employees,5.0,Private,Information Technology,$25 to $50 million (USD),DocOn Technologies,Data Scientist,2089792.5,2089792.5,4.0,78.0,11.0,11.0,44.0,22.0,11.0,Banglore,No
India,10000+ Employees,36.0,Private,Manufacturing,$1 to $2 billion (USD),Amara Raja,Data Scientist,35942.5,35942.5,4.1,71.0,17.0,13.0,67.0,17.0,8.0,Banglore,No
New York,10000+ Employees,20.0,Private,Information Technology,$500 million to $1 billion (USD),Synechron,Data Scientist,905998.5,905998.5,3.9,53.0,32.0,15.0,32.0,27.0,13.0,Banglore,No
New York,10000+ Employees,22.0,Public,Consulting,$500 million to $1 billion (USD),EXL Service,Data Scientist,871430.5,871430.5,3.6,64.0,18.0,19.0,48.0,14.0,10.0,Banglore,No
United Kingdom,1 to 50 Employees,1.0,Private,Government Agencies,$25 to $50 million (USD),Other,Data Scientist,1001427.0,1001427.0,4.1,57.0,5.0,38.0,33.0,22.0,17.0,Banglore,No
Michigan,10000+ Employees,41.0,Private,Information Technology,$1 to $2 billion (USD),Atos-Syntel,Data Scientist,613000.0,639254.0,3.5,67.0,14.0,19.0,36.0,32.0,12.0,Banglore,No
California,501 to 1000 Employees,18.0,Private,Information Technology,$25 to $50 million (USD),Innominds Software,Data Scientist,694225.0,768115.0,3.9,68.0,18.0,13.0,37.0,19.0,14.0,Banglore,No
India,1 to 50 Employees,5.0,Private,Information Technology,Less than $1 million (USD),Mate Labs,Data Scientist,199512.0,199512.0,4.1,78.0,11.0,11.0,78.0,11.0,11.0,Banglore,No
California,1001 to 5000 Employees,10.0,Public,Information Technology,$10+ billion (USD),Snap,Data Scientist,4385691.0,4385691.0,4.1,42.0,36.0,22.0,48.0,25.0,18.0,Banglore,No
Ireland,10000+ Employees,8.0,Public,Manufacturing,$2 to $5 billion (USD),Allegion,Data Scientist,1256156.0,1256156.0,3.7,54.0,38.0,8.0,41.0,20.0,15.0,Banglore,No
Kansas,10000+ Employees,65.0,Public,Telecommunication/Television,$2 to $5 billion (USD),Sprint,Data Scientist,948005.5,948005.5,3.5,68.0,13.0,19.0,70.0,11.0,9.0,Banglore,No
New York,201 to 500 Employees,6.0,Private,Information Technology,$100 to $500 million (USD),Impact Analytics,Data Scientist,1067888.0,1164562.0,4.0,48.0,32.0,19.0,38.0,38.0,10.0,Banglore,No
Morocco,10000+ Employees,129.0,Public,Manufacturing,$10+ billion (USD),GE,Data Scientist,2142705.0,2255035.0,3.9,70.0,10.0,21.0,48.0,25.0,10.0,Banglore,No
Belgium,10000+ Employees,169.0,Public,Manufacturing,$10+ billion (USD),Anheuser-Busch InBev,Data Scientist,1413240.0,1655281.0,3.6,60.0,19.0,22.0,63.0,22.0,6.0,Banglore,No
Ireland,10000+ Employees,32.0,Public,Consulting,$10+ billion (USD),Accenture,Data Scientist,1206899.0,1300000.0,4.0,70.0,13.0,17.0,37.0,29.0,12.0,Banglore,No
India,10000+ Employees,76.0,Public,Information Technology,$5 to $10 billion (USD),Wipro,Data Scientist,820208.0,820208.0,3.7,70.0,13.0,17.0,44.0,23.0,11.0,Banglore,No
Belgium,10000+ Employees,169.0,Public,Manufacturing,$10+ billion (USD),Anheuser-Busch InBev,Data Scientist,2000000.0,2417582.0,3.6,60.0,19.0,22.0,63.0,22.0,6.0,Banglore,No
North Carolina,1 to 50 Employees,14.0,Private,Information Technology,$5 to $10 million (USD),Fuzzy Logix,Data Scientist,1311865.0,1311865.0,3.6,75.0,25.0,100.0,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,10000+ Employees,110.0,Public,Information Technology,$10+ billion (USD),IBM,Data Scientist,3139130.0,3139130.0,3.9,69.0,12.0,19.0,43.0,22.0,14.0,Banglore,No
New York,1001 to 5000 Employees,21.0,Private,Consulting,$100 to $500 million (USD),Fractal,Data Scientist,1778459.0,1791129.0,4.0,72.0,19.0,9.0,48.0,20.0,15.0,Banglore,No
Connecticut,10000+ Employees,41.0,Private,Manufacturing,$5 to $10 billion (USD),HARMAN,Data Scientist,1378435.0,1378435.0,3.8,54.0,32.0,14.0,36.0,25.0,10.0,Banglore,No
India,5001 to 10000 Employees,10.0,Private,Information Technology,$10+ billion (USD),Ola,Data Scientist,3300000.0,3598041.0,3.1,47.0,43.0,11.0,23.0,23.0,22.0,Banglore,No
India,1001 to 5000 Employees,10.0,Public,Information Technology,$50 to $100 million (USD),Happiest Minds Technologies,Data Scientist,1779149.0,1779149.0,4.3,74.0,21.0,5.0,23.0,19.0,18.0,Banglore,No
New Joursey,10000+ Employees,27.0,Public,Consulting,$10+ billion (USD),Cognizant Technology Solutions,Data Scientist,755211.0,824756.0,3.7,73.0,13.0,14.0,43.0,23.0,10.0,Banglore,No
India,10000+ Employees,7.0,Private,Information Technology,$10+ billion (USD),Swiggy,Data Scientist,550359.0,550359.0,4.0,42.0,45.0,12.0,26.0,23.0,18.0,Banglore,No
California,1 to 50 Employees,1.0,Private,Government Agencies,$25 to $50 million (USD),CrowdANALYTIX,Data Scientist,254134.0,254134.0,4.1,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
California,1001 to 5000 Employees,42.0,Private,Information Technology,$10+ billion (USD),Walmart Labs,Data Scientist,3500000.0,4175000.0,3.8,48.0,36.0,16.0,27.0,21.0,20.0,Banglore,No
United Kingdom,10000+ Employees,32.0,Private,Banking/Finance,$10+ billion (USD),EY,Data Scientist,1583296.0,1896482.0,3.8,73.0,9.0,18.0,36.0,36.0,13.0,Banglore,No
New Joursey,10000+ Employees,27.0,Public,Consulting,$10+ billion (USD),Cognizant Technology Solutions,Data Scientist,1491087.0,1527710.0,3.7,73.0,13.0,14.0,43.0,23.0,10.0,Banglore,No
Washington,10000+ Employees,27.0,Public,Information Technology,$10+ billion (USD),Amazon,Data Scientist,2423357.0,2988948.0,4.3,59.0,19.0,23.0,54.0,15.0,12.0,Banglore,No
India,10000+ Employees,59.0,Public,General Merchandise & Superstores,$10+ billion (USD),Target,Data Scientist,2942678.0,3115800.0,4.3,67.0,13.0,21.0,64.0,12.0,10.0,Banglore,No
India,501 to 1000 Employees,5.0,Private,Consulting,$100 to $500 million (USD),TheMathCompany,Data Scientist,1163287.0,1163287.0,3.8,61.0,21.0,18.0,45.0,22.0,15.0,Banglore,No
India,501 to 1000 Employees,9.0,Private,Education,$10+ billion (USD),Embibe,Data Scientist,1687500.0,1961009.0,4.1,59.0,37.0,4.0,32.0,19.0,19.0,Banglore,No
Ireland,10000+ Employees,32.0,Public,Consulting,$10+ billion (USD),Accenture,Data Scientist,1634749.0,1869417.0,4.0,70.0,13.0,17.0,37.0,29.0,12.0,Banglore,No
Illinois,1001 to 5000 Employees,17.0,Private,Consulting,$10+ billion (USD),Mu Sigma,Data Scientist,37147.0,37147.0,3.3,70.0,12.0,19.0,77.0,12.0,5.0,Banglore,No
Morocco,10000+ Employees,31.0,Public,Consulting,$10+ billion (USD),Publicis Sapient,Data Scientist,1919175.0,1919175.0,3.8,68.0,19.0,13.0,27.0,26.0,21.0,Banglore,No
India,501 to 1000 Employees,9.0,Private,Education,$10+ billion (USD),Embibe,Data Scientist,351190.5,329807.0,4.1,59.0,37.0,4.0,32.0,19.0,19.0,Banglore,No
India,1001 to 5000 Employees,7.0,Private,Transportation,$10+ billion (USD),Bounce,Data Scientist,428749.5,395769.0,3.6,55.0,25.0,20.0,33.0,17.0,17.0,Banglore,No
India,201 to 500 Employees,12.0,Private,Consulting,$10+ billion (USD),Cartesian Consulting,Data Scientist,273530.5,286513.0,3.1,67.0,17.0,17.0,65.0,24.0,6.0,Banglore,No
Virginia,10000+ Employees,4.0,Public,Information Technology,$10+ billion (USD),DXC Technology,Data Scientist,1968908.5,913759.0,3.3,66.0,16.0,19.0,32.0,30.0,12.0,Banglore,No
India,1 to 50 Employees,1.0,Private,Information Technology,$25 to $50 million (USD),Discover Dollar,Data Scientist,147339.0,148003.0,4.6,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
New York,201 to 500 Employees,6.0,Private,Information Technology,$100 to $500 million (USD),Impact Analytics,Data Scientist,254920.0,276994.0,4.0,48.0,32.0,19.0,38.0,38.0,10.0,Banglore,No
California,51 to 200 Employees,8.0,Private,Information Technology,$1 to $2 billion (USD),Zendrive,Data Scientist,3349979.5,3000000.0,3.8,45.0,48.0,6.0,57.0,11.0,11.0,Banglore,No
California,10000+ Employees,39.0,Public,Information Technology,$2 to $5 billion (USD),Adobe,Data Scientist,3077843.5,2929855.0,4.4,61.0,23.0,16.0,29.0,24.0,20.0,Banglore,No
India,51 to 200 Employees,9.0,Private,Information Technology,$1 to $5 million (USD),Flutura,Data Scientist,797712.0,865820.0,4.4,65.0,17.0,17.0,23.0,23.0,18.0,Banglore,No
California,51 to 200 Employees,8.0,Private,Information Technology,$1 to $2 billion (USD),Sigmoid Analytics,Data Scientist,2100000.0,2200000.0,4.0,60.0,30.0,10.0,39.0,25.0,24.0,Banglore,No
India,1001 to 5000 Employees,10.0,Public,Information Technology,$50 to $100 million (USD),Happiest Minds Technologies,Data Scientist,309516.5,405433.0,4.3,74.0,21.0,5.0,23.0,19.0,18.0,Banglore,No
California,51 to 200 Employees,8.0,Private,Information Technology,$1 to $2 billion (USD),Sigmoid Analytics,Data Scientist,936136.0,1000000.0,4.0,60.0,30.0,10.0,39.0,25.0,24.0,Banglore,No
Ireland,10000+ Employees,32.0,Public,Consulting,$10+ billion (USD),Accenture,Data Scientist,2525225.5,3142105.0,4.0,70.0,13.0,17.0,37.0,29.0,12.0,Banglore,No
North Carolina,10000+ Employees,4.0,Public,Healthcare Medicine,$10+ billion (USD),IQVIA,Data Scientist,678086.5,719461.0,3.8,61.0,20.0,19.0,46.0,15.0,14.0,Banglore,No
Illinois,10000+ Employees,96.0,Public,Manufacturing,$10+ billion (USD),Caterpillar,Data Scientist,1211671.0,1211671.0,3.9,71.0,8.0,21.0,36.0,34.0,8.0,Banglore,No
Washington,10000+ Employees,46.0,Public,Information Technology,$10+ billion (USD),Microsoft,Data Scientist,992488.0,992488.0,4.4,66.0,13.0,21.0,33.0,30.0,15.0,Banglore,No
Illinois,5001 to 10000 Employees,129.0,Private,Healthcare Medicine,$10+ billion (USD),GE Healthcare,Data Scientist,569027.0,569027.0,4.0,65.0,17.0,18.0,43.0,18.0,15.0,Banglore,No
India,10000+ Employees,14.0,Private,Information Technology,$5 to $10 billion (USD),Flipkart,Data Scientist,638092.5,638092.5,4.2,58.0,26.0,16.0,29.0,18.0,17.0,Banglore,No
Illinois,1 to 50 Employees,9.0,Private,Information Technology,$25 to $50 million (USD),Busigence Technologies,Data Scientist,339926.5,339926.5,2.2,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,1 to 50 Employees,5.0,Private,Information Technology,Less than $1 million (USD),Mate Labs,Data Scientist,227224.0,227224.0,4.1,78.0,11.0,11.0,78.0,11.0,11.0,Banglore,No
India,5001 to 10000 Employees,10.0,Private,Information Technology,$10+ billion (USD),Ola,Data Scientist,696004.0,696004.0,3.1,47.0,43.0,11.0,23.0,23.0,22.0,Banglore,No
California,201 to 500 Employees,7.0,Private,Information Technology,$100 to $500 million (USD),Postman,Data Scientist,404067.0,404067.0,4.4,44.0,39.0,17.0,64.0,16.0,8.0,Banglore,No
India,201 to 500 Employees,10.0,Private,Consulting,$10+ billion (USD),Affine,Data Scientist,185619.5,185619.5,3.9,55.0,31.0,14.0,42.0,19.0,15.0,Banglore,No
California,10000+ Employees,82.0,Public,Information Technology,$10+ billion (USD),HP Inc.,Data Scientist,407865.5,1142503.68,4.2,73.0,13.0,14.0,45.0,17.0,15.0,Banglore,No
India,51 to 200 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),OkCredit,Data Scientist,368839.0,368839.0,4.7,41.0,59.0,41.0,24.0,18.0,13.633165829145726,Banglore,No
